series_id,date,value
LNS11300000,2024-11-01,62.5
LNS11300000,2024-12-01,62.5
LNS11300000,2025-01-01,62.6
LNS11300000,2025-02-01,62.4
LNS11300000,2025-03-01,62.5
LNS11300000,2025-04-01,62.6
LNS11300000,2025-05-01,62.4
LNS11300000,2025-06-01,62.3
LNS11300000,2025-07-01,62.2
LNS11300000,2025-08-01,62.3
LNS11300000,2025-09-01,62.4
LNS14000000,2015-01-01,5.7
LNS14000000,2015-02-01,5.5
LNS14000000,2015-03-01,5.4
LNS14000000,2015-04-01,5.4
LNS14000000,2015-05-01,5.6
LNS14000000,2015-06-01,5.3
LNS14000000,2015-07-01,5.2
LNS14000000,2015-08-01,5.1
LNS14000000,2015-09-01,5.0
LNS14000000,2015-10-01,5.0
LNS14000000,2015-11-01,5.1
LNS14000000,2015-12-01,5.0
LNS14000000,2016-01-01,4.8
LNS14000000,2016-02-01,4.9
LNS14000000,2016-03-01,5.0
LNS14000000,2016-04-01,5.1
LNS14000000,2016-05-01,4.8
LNS14000000,2016-06-01,4.9
LNS14000000,2016-07-01,4.8
LNS14000000,2016-08-01,4.9
LNS14000000,2016-09-01,5.0
LNS14000000,2016-10-01,4.9
LNS14000000,2016-11-01,4.7
LNS14000000,2016-12-01,4.7
LNS14000000,2017-01-01,4.7
LNS14000000,2017-02-01,4.6
LNS14000000,2017-03-01,4.4
LNS14000000,2017-04-01,4.4
LNS14000000,2017-05-01,4.4
LNS14000000,2017-06-01,4.3
LNS14000000,2017-07-01,4.3
LNS14000000,2017-08-01,4.4
LNS14000000,2017-09-01,4.3
LNS14000000,2017-10-01,4.2
LNS14000000,2017-11-01,4.2
LNS14000000,2017-12-01,4.1
LNS14000000,2018-01-01,4.0
LNS14000000,2018-02-01,4.1
LNS14000000,2018-03-01,4.0
LNS14000000,2018-04-01,4.0
LNS14000000,2018-05-01,3.8
LNS14000000,2018-06-01,4.0
LNS14000000,2018-07-01,3.8
LNS14000000,2018-08-01,3.8
LNS14000000,2018-09-01,3.7
LNS14000000,2018-10-01,3.8
LNS14000000,2018-11-01,3.8
LNS14000000,2018-12-01,3.9
LNS14000000,2019-01-01,4.0
LNS14000000,2019-02-01,3.8
LNS14000000,2019-03-01,3.8
LNS14000000,2019-04-01,3.7
LNS14000000,2019-05-01,3.6
LNS14000000,2019-06-01,3.6
LNS14000000,2019-07-01,3.7
LNS14000000,2019-08-01,3.6
LNS14000000,2019-09-01,3.5
LNS14000000,2019-10-01,3.6
LNS14000000,2019-11-01,3.6
LNS14000000,2019-12-01,3.6
LNS14000000,2020-01-01,3.6
LNS14000000,2020-02-01,3.5
LNS14000000,2020-03-01,4.4
LNS14000000,2020-04-01,14.8
LNS14000000,2020-05-01,13.2
LNS14000000,2020-06-01,11.0
LNS14000000,2020-07-01,10.2
LNS14000000,2020-08-01,8.4
LNS14000000,2020-09-01,7.8
LNS14000000,2020-10-01,6.9
LNS14000000,2020-11-01,6.7
LNS14000000,2020-12-01,6.7
LNS14000000,2021-01-01,6.4
LNS14000000,2021-02-01,6.2
LNS14000000,2021-03-01,6.1
LNS14000000,2021-04-01,6.1
LNS14000000,2021-05-01,5.8
LNS14000000,2021-06-01,5.9
LNS14000000,2021-07-01,5.4
LNS14000000,2021-08-01,5.1
LNS14000000,2021-09-01,4.7
LNS14000000,2021-10-01,4.5
LNS14000000,2021-11-01,4.2
LNS14000000,2021-12-01,3.9
LNS14000000,2022-01-01,4.0
LNS14000000,2022-02-01,3.8
LNS14000000,2022-03-01,3.7
LNS14000000,2022-04-01,3.7
LNS14000000,2022-05-01,3.6
LNS14000000,2022-06-01,3.6
LNS14000000,2022-07-01,3.5
LNS14000000,2022-08-01,3.6
LNS14000000,2022-09-01,3.5
LNS14000000,2022-10-01,3.6
LNS14000000,2022-11-01,3.6
LNS14000000,2022-12-01,3.5
LNS14000000,2023-01-01,3.5
LNS14000000,2023-02-01,3.6
LNS14000000,2023-03-01,3.5
LNS14000000,2023-04-01,3.4
LNS14000000,2023-05-01,3.6
LNS14000000,2023-06-01,3.6
LNS14000000,2023-07-01,3.5
LNS14000000,2023-08-01,3.7
LNS14000000,2023-09-01,3.8
